Beatrice Albert,Edith Heath,Gerda Stromberg,,,,,,,,,,,,,,,,,,,,,,
Amelia Pelaez del Casal,Irene Rice Pereira,Elsa Schmid,Hedda Sterne,,,,,,,,,,,,,,,,,,,,,
Camille Bryen,Elsa Schmid,,,,,,,,,,,,,,,,,,,,,,,
Louise Dahl-Wolfe,Lisa Larsen,Ruth Orkin,,,,,,,,,,,,,,,,,,,,,,
Clara Porset,,,,,,,,,,,,,,,,,,,,,,,,
Aino Aalto,Anni Albers,Marianne Brandt,Charlotte Perriand,Mrs. Truus Schroder-Schrader,Marguerite Wildenhain,Eva Zeisel,,,,,,,,,,,,,,,,,,
Florence Homolka,Lotte Jacobi,Lisa Larsen,Ruth Orkin,Marion Palfi,Musya Sheeler,,,,,,,,,,,,,,,,,,,
Mary Callery,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Hepworth,Frida Kahlo,Georgia O'Keeffe,Elsa Schmid,,,,,,,,,,,,,,,,,,,,,
Prunella Clough,Caroline Lucas,,,,,,,,,,,,,,,,,,,,,,,
Anni Albers,Emily Belding,Freda Diamond,Ray Eames,Marli Ehrman,Edith Heath,Juliet Kepes,Dorothy Liebes,Greta Magnusson Grossman,Greta Von Nessen,Trudi Sitterle,Marianne Strengell,Marguerite Wildenhain,,,,,,,,,,,,
Ynez Johnston,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Pelaez del Casal,Irene Rice Pereira,Elsa Schmid,,,,,,,,,,,,,,,,,,,,,,
Worden Day,Katherine S. Dreier,Sue Fuller,Gertrude Greene,Georgia O'Keeffe,Irene Rice Pereira,Jeanne Reynal,Anne Ryan,,,,,,,,,,,,,,,,,
Louise Bourgeois,,,,,,,,,,,,,,,,,,,,,,,,
Eileen Weltner,,,,,,,,,,,,,,,,,,,,,,,,
Diane Arbus,Marjory Collins,Lotte Jacobi,Barbara Morgan,Susan Weil,,,,,,,,,,,,,,,,,,,,
Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,
Mary Callery,,,,,,,,,,,,,,,,,,,,,,,,
Dorr Bothwell,Minna Citron,A. R. De Ycaza,Sue Fuller,Ynez Johnston,Louise Krueger,Anne Ryan,,,,,,,,,,,,,,,,,,
Berenice Abbott,Lisette Model,,,,,,,,,,,,,,,,,,,,,,,
Frances Benjamin Johnston,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Bourke-White,Lisa Larsen,Nina Leen,,,,,,,,,,,,,,,,,,,,,,
Emily Belding,Eszter Haraszty,Florence Knoll,Trude Petri-Raben,Noemi Raymond,Lucie Rie,Trudi Sitterle,Marianne Strengell,Marguerite Wildenhain,,,,,,,,,,,,,,,,
Berenice Abbott,Lotte Jacobi,Helen Levitt,Lisette Model,Barbara Morgan,,,,,,,,,,,,,,,,,,,,
Toni Hughes,Amelia Pelaez del Casal,Elsa Schmid,Ruth Vollmer,,,,,,,,,,,,,,,,,,,,,
Lina Bo Bardi,Mary Callery,Dorothy Dehner,Kathe Kollwitz,Germaine Richier,,,,,,,,,,,,,,,,,,,,
Anni Albers,Vera Liskova,Virginia Nepodal,,,,,,,,,,,,,,,,,,,,,,
Jeanne Reynal,,,,,,,,,,,,,,,,,,,,,,,,
Carol Summers,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Bourke-White,Julia Margaret Cameron,Florence Homolka,Lotte Jacobi,Consuelo Kanaga,Dorothea Lange,Helen Levitt,Marion Palfi,,,,,,,,,,,,,,,,,
Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,
Hildegarde Haas,Louise Krueger,Anne Steele Marsh,Alice Trumbull Mason,Leona Pierce,Gertrude Quastler,Anne Ryan,Carol Summers,,,,,,,,,,,,,,,,,
Emily Belding,Freda Diamond,Edith Heath,Evelyn Hill,Florence Knoll,Greta Magnusson Grossman,Greta Von Nessen,Trudi Sitterle,,,,,,,,,,,,,,,,,
Louise Krueger,,,,,,,,,,,,,,,,,,,,,,,,
Dorothea Lange,,,,,,,,,,,,,,,,,,,,,,,,
