source,target,Type,Weight
Carol Block Taback,Berenice Abbott,Undirected,3
Barbara Kasten,Berenice Abbott,Undirected,1
Cindy Sherman,Berenice Abbott,Undirected,1
Nan Goldin,Berenice Abbott,Undirected,1
Sandra Semchuk,Berenice Abbott,Undirected,1
Wanda Wulz,Berenice Abbott,Undirected,1
Georgia O'Keeffe,Stella F. Simon,Undirected,1
Berenice Abbott,Stella F. Simon,Undirected,1
Marie Laurencin,Mary Cassatt,Undirected,1
Peggy Bacon,Mary Cassatt,Undirected,4
Concetta Scaravaglione,Mary Cassatt,Undirected,2
Georgia O'Keeffe,Mary Cassatt,Undirected,5
Anna Glenny,Mary Cassatt,Undirected,2
Renee Sintenis,Mary Cassatt,Undirected,1
Berenice Abbott,Mary Cassatt,Undirected,1
Gertrude Vanderbilt Whitney,Mary Cassatt,Undirected,2
Anne Goldthwaite,Mary Cassatt,Undirected,1
Natalia Goncharova,Mary Cassatt,Undirected,1
Kathe Kollwitz,Mary Cassatt,Undirected,5
Florine Stettheimer,Mary Cassatt,Undirected,2
Marguerite Zorach,Mary Cassatt,Undirected,1
Mabel Dwight,Mary Cassatt,Undirected,1
Loren MacIver,Mary Cassatt,Undirected,2
Margaret Bourke-White,Mary Cassatt,Undirected,1
Imogen Cunningham,Mary Cassatt,Undirected,1
Laureen Ford,Mary Cassatt,Undirected,1
Ada V. Gabriel,Mary Cassatt,Undirected,1
Wanda Gag,Mary Cassatt,Undirected,3
Minna R. Harkavy,Mary Cassatt,Undirected,3
Dorothea Lange,Mary Cassatt,Undirected,1
Mrs. Pare Lorentz,Mary Cassatt,Undirected,1
Doris Rosenthal,Mary Cassatt,Undirected,1
Irene Rice Pereira,Mary Cassatt,Undirected,2
Eloise Howard,Mary Cassatt,Undirected,1
Maria Martins,Mary Cassatt,Undirected,1
Suzanne Valadon,Mary Cassatt,Undirected,4
Sue Fuller,Mary Cassatt,Undirected,1
Anne Ryan,Mary Cassatt,Undirected,1
Louise Bourgeois,Mary Cassatt,Undirected,1
Minna Citron,Mary Cassatt,Undirected,1
Marie Laurencin,Gertrude Vanderbilt Whitney,Undirected,1
Peggy Bacon,Gertrude Vanderbilt Whitney,Undirected,1
Concetta Scaravaglione,Gertrude Vanderbilt Whitney,Undirected,2
Georgia O'Keeffe,Gertrude Vanderbilt Whitney,Undirected,2
Anna Glenny,Gertrude Vanderbilt Whitney,Undirected,2
Berenice Abbott,Gertrude Vanderbilt Whitney,Undirected,2
Mary Cassatt,Gertrude Vanderbilt Whitney,Undirected,2
Anne Goldthwaite,Gertrude Vanderbilt Whitney,Undirected,1
Kathe Kollwitz,Gertrude Vanderbilt Whitney,Undirected,1
Florine Stettheimer,Gertrude Vanderbilt Whitney,Undirected,1
Marguerite Zorach,Gertrude Vanderbilt Whitney,Undirected,2
Mabel Dwight,Gertrude Vanderbilt Whitney,Undirected,1
Eugenie Gershoy,Gertrude Vanderbilt Whitney,Undirected,1
Loren MacIver,Gertrude Vanderbilt Whitney,Undirected,2
Margaret Bourke-White,Gertrude Vanderbilt Whitney,Undirected,1
Imogen Cunningham,Gertrude Vanderbilt Whitney,Undirected,1
Laureen Ford,Gertrude Vanderbilt Whitney,Undirected,1
Ada V. Gabriel,Gertrude Vanderbilt Whitney,Undirected,1
Wanda Gag,Gertrude Vanderbilt Whitney,Undirected,1
Minna R. Harkavy,Gertrude Vanderbilt Whitney,Undirected,2
Dorothea Lange,Gertrude Vanderbilt Whitney,Undirected,1
Mrs. Pare Lorentz,Gertrude Vanderbilt Whitney,Undirected,1
Doris Rosenthal,Gertrude Vanderbilt Whitney,Undirected,1
Lily Cushing,Gertrude Vanderbilt Whitney,Undirected,1
Frida Kahlo,Gertrude Vanderbilt Whitney,Undirected,1
Alice Boughton,Gertrude Vanderbilt Whitney,Undirected,1
Leonora Carrington,Gertrude Vanderbilt Whitney,Undirected,1
Lotte Jacobi,Gertrude Vanderbilt Whitney,Undirected,1
Chana Orloff,Gertrude Vanderbilt Whitney,Undirected,1
Elsa Schmid,Gertrude Vanderbilt Whitney,Undirected,1
Peggy Bacon,Anne Goldthwaite,Undirected,1
Concetta Scaravaglione,Anne Goldthwaite,Undirected,1
Georgia O'Keeffe,Anne Goldthwaite,Undirected,2
Anna Glenny,Anne Goldthwaite,Undirected,1
Berenice Abbott,Anne Goldthwaite,Undirected,1
Mary Cassatt,Anne Goldthwaite,Undirected,1
Gertrude Vanderbilt Whitney,Anne Goldthwaite,Undirected,1
Marguerite Zorach,Anne Goldthwaite,Undirected,1
Mabel Dwight,Anne Goldthwaite,Undirected,1
Loren MacIver,Anne Goldthwaite,Undirected,2
Margaret Bourke-White,Anne Goldthwaite,Undirected,1
Imogen Cunningham,Anne Goldthwaite,Undirected,1
Laureen Ford,Anne Goldthwaite,Undirected,1
Ada V. Gabriel,Anne Goldthwaite,Undirected,1
Wanda Gag,Anne Goldthwaite,Undirected,1
Minna R. Harkavy,Anne Goldthwaite,Undirected,2
Dorothea Lange,Anne Goldthwaite,Undirected,1
Mrs. Pare Lorentz,Anne Goldthwaite,Undirected,1
Doris Rosenthal,Anne Goldthwaite,Undirected,1
Peggy Bacon,Charlotte Perriand,Undirected,1
Georgia O'Keeffe,Charlotte Perriand,Undirected,1
Berenice Abbott,Charlotte Perriand,Undirected,1
